65,2,6.688
10,56,0.257
64,30,0.423
39,30,1.391
45,51,0.363
41,24,0.537
42,12,0.452
53,31,0.35
54,17,0.34
7,6,1.058
45,10,0.344
3,5,1.0
54,9,0.34
34,57,0.232
35,55,0.302
31,47,0.292
8,69,0.41
36,48,0.874
35,48,0.276
63,38,0.445
19,22,1.31
21,46,0.377
8,70,0.65
4,33,0.352
55,51,0.271
38,30,0.394
51,56,0.271
22,43,0.755
35,6,0.901
34,52,0.454
53,17,0.321
54,12,1.022
63,30,0.635
45,21,4.002
5,65,0.393
61,30,0.289
12,17,0.989
71,52,0.659
22,21,0.619
70,2,0.668
55,12,5.439
41,32,0.805
45,37,3.95
37,2,0.931
32,28,1.298
14,8,0.314
44,24,0.416
6,48,8.295
60,10,0.577
51,48,1.041
12,23,5.486
45,39,0.301
13,26,0.309
8,49,0.284
71,6,0.957
57,51,0.548
63,6,3.9
3,32,2.371
50,6,1.673
43,65,0.527
55,44,0.572
34,53,0.371
31,65,0.373
18,13,1.04
54,67,0.523
5,47,0.307
53,9,0.321
39,20,0.219
43,21,0.788
70,69,0.72
54,51,0.301
47,30,1.921
52,56,0.454
47,10,0.534
42,8,0.338
31,58,0.761
8,44,0.88
44,12,1.611
29,1,0.549
28,6,2.309
33,10,0.553
14,56,0.391
71,65,0.62
9,69,2.041
57,6,0.807
12,65,1.072
34,44,0.572
32,12,2.727
53,48,0.635
13,10,0.229
54,69,0.317
62,2,10.741
18,39,1.209
42,43,0.373
54,5,0.393
38,26,1.202
34,51,0.271
8,52,0.489
15,56,0.873
61,21,0.293
7,9,0.504
39,2,0.772
54,52,0.422
39,15,2.52
67,43,1.044
40,17,0.728
71,4,0.352
21,10,1.154
45,22,0.382
22,15,0.587
17,51,0.333
35,44,0.572
32,43,0.95
47,48,0.858
67,32,0.322
3,6,7.701
68,30,0.845
39,7,0.442
34,10,0.257
38,23,1.55
21,6,3.142
53,38,0.534
3,13,1.843
12,69,0.979
51,6,1.386
3,19,0.692
49,6,1.017
51,43,0.729
20,13,0.272
52,48,0.428
71,33,0.352
63,32,1.677
35,10,0.257
62,10,0.399
11,22,0.411
61,65,0.331
41,58,0.435
34,48,0.276
41,48,0.485
34,56,0.302
31,24,0.386
12,24,0.663
24,48,0.559
43,24,0.373
1,69,0.515
4,23,0.342
61,6,0.476
29,70,0.754
12,48,8.311
49,12,0.635
12,32,0.124
71,5,0.63
15,69,0.551
67,6,0.787
39,10,0.439
18,68,0.232
63,23,0.445
53,10,0.592
22,6,2.654
1,17,0.641
53,56,0.371
49,44,0.339
57,48,0.559
50,12,1.175
71,43,1.122
41,72,0.217
19,69,0.628
68,65,0.853
3,10,1.086
14,3,0.978
64,43,0.617
50,46,0.511
43,58,1.044
34,6,0.35
25,39,0.267
44,52,1.432
3,28,1.484
12,60,0.714
16,51,0.333
20,6,0.162
12,52,0.68
47,33,0.611
53,70,1.503
69,68,0.303
